num,category,primary_keyword,semantic_cluster,search_intent,platform_priority,example_usage
1,social_media_marketing,"Instagram SEO","Instagram optimization, Instagram search, Instagram discoverability, Instagram algorithm, Instagram keywords, Instagram ranking",learn + implement,instagram,"Instagram SEO tips for creators looking to increase discoverability"
2,content_creation,"Content strategy","Content planning, content calendar, content ideas, content marketing, content creation tips, storytelling",plan + create,all,"Content strategy framework for consistent posting and engagement"
3,creator_economy,"Creator growth","Follower growth, audience building, community building, creator tips, monetization, brand deals",achieve + monetize,all,"Creator growth strategies: from 0 to 10k followers in 90 days"
4,digital_marketing,"Social media marketing","Digital marketing, online marketing, social strategy, brand awareness, engagement tactics, social ROI",learn + strategize,all,"Social media marketing trends 2025: what's working now"
5,seo_technical,"Keyword research","Keyword optimization, search intent, semantic keywords, long-tail keywords, keyword density, LSI keywords",research + optimize,all,"Keyword research for social media: finding high-intent terms"
6,platform_specific,"Twitter threads","X threads, thread templates, Twitter engagement, thread virality, Twitter growth, tweet structure",create + engage,twitter,"Twitter threads that go viral: 10 proven structures"
7,business_growth,"Small business marketing","Local SEO, small business social media, entrepreneur tips, business growth, startup marketing, solopreneur",grow + scale,instagram/linkedin,"Small business marketing on Instagram: complete 2025 guide"
8,creative_niches,"Photography marketing","Photographer SEO, photo business, visual content, Instagram for photographers, portfolio marketing",showcase + sell,instagram,"Photography marketing: optimize your Instagram for bookings"
9,analytics,"Social media analytics","Performance tracking, engagement metrics, growth analytics, social insights, data-driven marketing, ROI tracking",measure + improve,all,"Social media analytics: which metrics actually matter in 2025"
10,tools_software,"Social media tools","Scheduling tools, analytics platforms, content tools, automation software, management apps, creator tools",discover + use,all,"10 social media tools for creators: free and premium options"
